0,34
1,48
2,83
3,46
4,56
5,16
6,4
7,3
8,2
9,3
10,11
11,2
12,1
13,25
14,3
15,2
16,2
17,74
18,2
19,1
20,3
21,4
22,71
23,2
24,1
25,2
26,4
27,5
28,11
29,2
30,5
31,33
32,2
33,1
34,4
35,1
36,1
37,1
38,2
39,2
40,2
41,2
42,1
43,70
44,6
45,2
46,27
47,1
48,1
49,2
50,3
51,7
52,1
53,1
54,2
55,2
56,1
57,0
58,1
59,2
60,1
61,1
62,7
63,104
64,1
65,1
66,1
67,2
68,1
69,0
70,1
71,1
72,1
73,1
74,7
75,1
76,3
77,1
78,1
79,1
80,2
81,0
82,1
83,2
84,29
85,1
86,66
87,1
88,0
89,1
90,1
91,12
92,0
93,1
94,6
95,1
96,1
97,1
98,2
99,66
100,1
101,1
102,24
103,2
104,0
105,1
106,1
107,2
108,1
109,18
110,2
111,1
112,2
113,0
114,1
115,1
116,1
117,4
118,2
119,2
120,1
121,1
122,1
123,1
124,8
125,2
126,63
127,19
128,1
129,1
130,2
131,5
132,5
133,1
134,0
135,1
136,2
137,1
138,1
139,1
140,1
141,1
142,1
143,73
144,16
145,10
146,16
147,1
148,2
149,1
150,0
151,2
152,5
153,1
154,1
155,1
156,1
157,1
158,0
159,1
160,2
161,69
162,1
163,1
164,1
165,6
166,8
167,2
168,23
169,1
170,1
171,2
172,1
173,1
174,1
175,6
176,3
177,0
178,67
179,1
180,1
181,1
182,1
183,1
184,26
185,3
186,1
187,1
188,2
189,1
190,1
191,1
192,13
193,3
194,1
195,2
196,1
197,2
198,1
199,1
200,1
201,1
202,26
203,2
204,1
205,49
206,16
207,1
208,1
209,2
210,34
211,2
212,2
213,1
214,1
215,1
216,2
217,1
218,1
219,1
220,64
221,7
222,1
223,1
224,21
225,1
226,2
227,1
228,1
229,1
230,1
231,1
232,6
233,1
234,1
235,1
236,1
237,1
238,2
239,2
240,68
241,1
242,17
243,0
244,1
245,1
246,2
247,7
248,4
249,4
250,1
251,7
252,1
253,1
254,1
255,2
256,1
257,1
258,1
259,1
260,1
261,1
262,72
263,5
264,1
265,2
266,12
267,14
268,1
269,8
270,2
271,63
272,2
273,1
274,1
275,1
276,31
277,1
278,1
279,3
280,4
281,26
282,4
283,72
284,2
285,58
286,1
287,2
288,1
289,1
290,1
291,11
292,5
293,2
294,21
295,2
296,2
297,2
298,68
299,1
300,2
301,1
302,31
303,1
304,14
305,2
306,15
307,1
308,1
309,1
310,3
311,9
312,4
313,5
314,2
315,2
316,1
317,4
318,34
319,12
320,2
321,2
322,1
323,21
324,3
325,68
326,3
327,2
328,2
